gaid^gadiscription^Date^AndroidId^Eventcategory^connectiontype^Totalevents^Sessions^Screenviews^Exit^ExitRate^
2^App Reopen Data - For Upgrade users^20160826^13cfcb08de0d2e84^App Reopen^ ^24^ ^ ^ ^ ^
2^App Reopen Data - For Upgrade users^20160826^317ac3ba06cfb474^App Reopen^ ^4^ ^ ^ ^ ^
2^App Reopen Data - For Upgrade users^20160826^3ffa9dff936de7ee^App Reopen^ ^1^ ^ ^ ^ ^
2^App Reopen Data - For Upgrade users^20160826^f763ca9c0fa7ed3e^App Reopen^ ^3^ ^ ^ ^ ^
2^App Reopen Data - For Upgrade users^20160827^66864493cba95b4c^App Reopen^ ^1^ ^ ^ ^ ^
2^App Reopen Data - For Upgrade users^20160827^7a86d7f484b8fb3^App Reopen^ ^1^ ^ ^ ^ ^
2^App Reopen Data - For Upgrade users^20160827^b78b7bbbc632344f^App Reopen^ ^2^ ^ ^ ^ ^
2^App Reopen Data - For Upgrade users^20160827^bf8d872db8682e2c^App Reopen^ ^1^ ^ ^ ^ ^
2^App Reopen Data - For Upgrade users^20160827^c14a27fd6d9b6846^App Reopen^ ^1^ ^ ^ ^ ^
2^App Reopen Data - For Upgrade users^20160827^ccc6eb2daef9f4d0^App Reopen^ ^1^ ^ ^ ^ ^
3^Number of unqiue users clicking on Locked content^20160826^10f2e4b80bf79998^locked^ ^1^ ^ ^ ^ ^
3^Number of unqiue users clicking on Locked content^20160826^10f7a3404f3280ae^locked^ ^1^ ^ ^ ^ ^
3^Number of unqiue users clicking on Locked content^20160826^115415fdc1d125aa^locked^ ^5^ ^ ^ ^ ^
3^Number of unqiue users clicking on Locked content^20160826^1398172c680f0419^locked^ ^7^ ^ ^ ^ ^
3^Number of unqiue users clicking on Locked content^20160826^13cfcb08de0d2e84^locked^ ^5^ ^ ^ ^ ^
3^Number of unqiue users clicking on Locked content^20160826^172db24eb4dc48b3^locked^ ^4^ ^ ^ ^ ^
3^Number of unqiue users clicking on Locked content^20160826^17f0415c7fe43ef5^locked^ ^1^ ^ ^ ^ ^
3^Number of unqiue users clicking on Locked content^20160826^1899fb7f46fbdc7e^locked^ ^1^ ^ ^ ^ ^
3^Number of unqiue users clicking on Locked content^20160826^1bd5500f5d00393f^locked^ ^3^ ^ ^ ^ ^
3^Number of unqiue users clicking on Locked content^20160826^2d7b7146032b4d7a^locked^ ^2^ ^ ^ ^ ^
3^Number of unqiue users clicking on Locked content^20160826^315f94e6c0bd2441^locked^ ^1^ ^ ^ ^ ^
3^Number of unqiue users clicking on Locked content^20160826^317ac3ba06cfb474^locked^ ^2^ ^ ^ ^ ^
3^Number of unqiue users clicking on Locked content^20160826^389750cf828340d9^locked^ ^2^ ^ ^ ^ ^
