gaid^gadiscription^20160827^20160826^
1^App Open Data^781^245^
2^App Reopen Data - For Upgrade users^10^4^
3^Number of unqiue users clicking on Locked content^231^69^
1^App Open Data^781^245^
2^App Reopen Data - For Upgrade users^10^4^
3^Number of unqiue users clicking on Locked content^231^69^
1^App Open Data^781^245^
2^App Reopen Data - For Upgrade users^10^4^
3^Number of unqiue users clicking on Locked content^231^69^
1^App Open Data^781^245^
2^App Reopen Data - For Upgrade users^10^4^
3^Number of unqiue users clicking on Locked content^231^69^
1^App Open Data^781^245^
2^App Reopen Data - For Upgrade users^10^4^
3^Number of unqiue users clicking on Locked content^231^69^
4^Number of users on Splash screen^879^250^
1^App Open Data^781^245^
2^App Reopen Data - For Upgrade users^10^4^
3^Number of unqiue users clicking on Locked content^231^69^
4^Number of users on Splash screen^879^250^
